invoice_id,customer_id,order_date,product_id,product_name,quantity,unit_price,region
INV00008880,C00755,01-01-2024,P0054,Product P0054,4,178.81,East
INV00000294,C00829,01-01-2024,P0269,Product P0269,1,94.34,East
INV00009781,C00807,01-01-2024,P0047,Product P0047,5,107.42,East
INV00002673,C02129,01-01-2024,P0080,Product P0080,1,73.64,South
INV00001945,C00951,01-01-2024,P0222,Product P0222,4,169.42,West
INV00000830,C00073,01-01-2024,P0219,Product P0219,2,23.89,East
INV00005332,C02015,01-01-2024,P0136,Product P0136,3,43.92,North
INV00004463,C01472,01-01-2024,P0029,Product P0029,4,84.89,West
INV00005389,C01241,01-01-2024,P0118,Product P0118,4,71.98,South
INV00004114,C02446,02-01-2024,P0258,Product P0258,2,89.79,North
INV00002812,C00716,02-01-2024,P0218,Product P0218,3,158.35,South
INV00008866,C02079,02-01-2024,P0176,Product P0176,5,129.7,North
INV00004284,C01086,02-01-2024,P0214,Product P0214,4,55.32,East
INV00006704,C00291,02-01-2024,P0265,Product P0265,5,95.83,North
INV00007095,C02438,02-01-2024,P0272,Product P0272,5,142.48,South
INV00005322,C02102,02-01-2024,P0127,Product P0127,5,156.69,West
INV00004932,C01836,02-01-2024,P0002,Product P0002,4,95.85,North
INV00005936,C00709,02-01-2024,P0255,Product P0255,2,118.98,East
INV00000440,C00994,02-01-2024,P0037,Product P0037,4,112.54,East
INV00001408,C02186,02-01-2024,P0228,Product P0228,4,72.68,East
INV00000489,C01913,03-01-2024,P0297,Product P0297,2,66.28,South
INV00007164,C01981,03-01-2024,P0109,Product P0109,2,128.13,East
INV00004100,C00841,03-01-2024,P0088,Product P0088,4,52.3,South
INV00003251,C00846,03-01-2024,P0061,Product P0061,1,50.49,South
INV00000991,C00857,03-01-2024,P0107,Product P0107,4,41.09,West
INV00004119,C00519,03-01-2024,P0093,Product P0093,3,121.99,West
INV00006048,C01427,03-01-2024,P0124,Product P0124,1,99.18,South
INV00000338,C00793,03-01-2024,P0038,Product P0038,5,40.46,West
INV00002073,C01007,03-01-2024,P0139,Product P0139,2,8,East
INV00002656,C01413,03-01-2024,P0174,Product P0174,1,133.48,South
INV00001280,C02164,04-01-2024,P0169,Product P0169,2,13.36,North
INV00003891,C01419,04-01-2024,P0232,Product P0232,2,16.06,East
INV00006730,C00787,04-01-2024,P0167,Product P0167,2,76.04,North
INV00001235,C01593,04-01-2024,P0026,Product P0026,1,177.18,South
INV00008747,C00210,04-01-2024,P0043,Product P0043,4,62.81,West
INV00000307,C00756,04-01-2024,P0196,Product P0196,1,74.48,West
INV00000763,C02373,04-01-2024,P0243,Product P0243,3,72.21,South
INV00009220,C02434,04-01-2024,P0110,Product P0110,5,116.47,North
INV00006564,C00085,04-01-2024,P0178,Product P0178,1,62.87,South
INV00007652,C01363,04-01-2024,P0263,Product P0263,4,58.35,South
INV00001894,C01776,04-01-2024,P0018,Product P0018,5,40.71,East
INV00003209,C01051,04-01-2024,P0248,Product P0248,4,15.31,West
INV00008243,C01372,04-01-2024,P0073,Product P0073,1,133.06,South
INV00003287,C00328,04-01-2024,P0225,Product P0225,1,83.4,East
INV00001040,C02068,05-01-2024,P0172,Product P0172,5,17.86,West
INV00005419,C01397,05-01-2024,P0102,Product P0102,2,56.01,North
INV00007077,C02031,05-01-2024,P0223,Product P0223,2,152.48,East
INV00001301,C01900,05-01-2024,P0296,Product P0296,3,37.88,South
INV00007776,C02124,05-01-2024,P0180,Product P0180,5,69.99,West
INV00005817,C01019,05-01-2024,P0006,Product P0006,2,144.84,West
INV00000149,C02055,05-01-2024,P0180,Product P0180,3,59.17,West
INV00006761,C00084,05-01-2024,P0200,Product P0200,1,63.3,East
INV00008545,C00319,05-01-2024,P0278,Product P0278,3,154.96,East
INV00002899,C01991,05-01-2024,P0110,Product P0110,3,139.54,East
INV00000715,C02301,05-01-2024,P0099,Product P0099,2,110.57,East
INV00004637,C02062,05-01-2024,P0008,Product P0008,1,128.63,South
INV00008497,C02441,05-01-2024,P0120,Product P0120,2,46.19,North
INV00002523,C00525,05-01-2024,P0135,Product P0135,4,113.59,North
INV00003307,C00690,05-01-2024,P0151,Product P0151,2,111.37,West
INV00008998,C02141,05-01-2024,P0294,Product P0294,3,141.92,West
INV00004893,C00146,05-01-2024,P0228,Product P0228,2,150.19,East
